,onsets,duration,metric
0,9.190000000000005,1,image=water.jpg
0,10.205997467041016,6,0
1,30.1984,1,image=water.jpg
1,31.215900421142578,6,0
2,47.194700000000005,1,image=UCO.jpg
2,48.21120071411133,6,2
0,56.22420120239258,3,rinse
3,64.1943,1,image=CO.jpg
3,65.20530700683594,6,1
1,73.20219421386719,3,rinse
4,86.19820000000001,1,image=UCO.jpg
4,87.19830322265625,6,2
2,95.21209716796875,3,rinse
5,103.1936,1,image=CO.jpg
5,104.20919799804688,6,1
3,112.20619201660156,3,rinse
6,121.19480000000001,1,image=UCO.jpg
6,122.20339965820312,6,2
4,130.20079040527344,3,rinse
7,138.1935,1,image=water.jpg
7,139.21409606933594,6,0
8,160.1988,1,image=water.jpg
8,161.2073974609375,6,0
9,177.1945,1,image=CO.jpg
9,178.2012939453125,6,1
5,186.21530151367188,3,rinse
10,196.1962,1,image=UCO.jpg
10,197.2021942138672,6,2
6,205.2091827392578,3,rinse
11,215.1944,1,image=water.jpg
11,216.2053985595703,6,0
12,235.1971,1,image=water.jpg
12,236.2152862548828,6,0
13,256.20059999999995,1,image=CO.jpg
13,257.2091979980469,6,1
7,265.2062072753906,3,rinse
14,272.193,1,image=UCO.jpg
14,273.22039794921875,6,2
8,281.2176208496094,3,rinse
15,295.1959,1,image=CO.jpg
15,296.2085266113281,6,1
9,304.20989990234375,3,rinse
16,311.19259999999997,1,image=UCO.jpg
16,312.20721435546875,6,2
10,320.2209167480469,3,rinse
17,334.1984,1,image=UCO.jpg
17,335.2001037597656,6,2
11,343.21209716796875,3,rinse
18,352.1946,1,image=CO.jpg
18,353.2103271484375,6,1
12,361.2082214355469,3,rinse
19,373.19509999999997,1,image=CO.jpg
19,374.20330810546875,6,1
13,382.20111083984375,3,rinse
20,390.1944,1,image=UCO.jpg
20,391.214599609375,6,2
14,399.2117004394531,3,rinse
21,407.193,1,image=CO.jpg
21,408.20892333984375,6,1
15,416.2060241699219,3,rinse
22,425.1944,1,image=water.jpg
22,426.2042236328125,6,0
23,448.1996,1,image=water.jpg
23,449.1961975097656,6,0
