18.0396 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1280, 1024]. Using actual size
59.9691 	DATA 	Keypress: o
59.9698 	Level start key press 	25
61.9811 	DATA 	Keypress: o
63.9805 	DATA 	Keypress: o
65.9792 	DATA 	Keypress: o
67.9794 	DATA 	Keypress: o
69.1598 	Level onset of trial =0.000000 	25
69.5095 	Level image=water.jpg 	25
70.1623 	DATA 	Keypress: o
70.1755 	Level injecting via pump at address 0 	25
70.1756 	Level injecting via pump at address 0 	25
70.1758 	Level post injecting via pump at address 0 	25
76.1648 	DATA 	Keypress: o
76.1660 	DATA 	Keypress: o
76.1672 	DATA 	Keypress: o
76.1903 	Level start wait 	25
78.1650 	DATA 	Keypress: o
78.1736 	Level NO RINSE 	25
90.1593 	Level finished 	25
90.1610 	DATA 	Keypress: o
90.1623 	DATA 	Keypress: o
90.1634 	DATA 	Keypress: o
90.1645 	DATA 	Keypress: o
90.1657 	DATA 	Keypress: o
90.1670 	DATA 	Keypress: o
90.1682 	Level onset of trial =21.000000 	25
90.3861 	Level image=water.jpg 	25
91.1853 	Level injecting via pump at address 0 	25
91.1855 	Level injecting via pump at address 0 	25
91.1857 	Level post injecting via pump at address 0 	25
97.1653 	DATA 	Keypress: o
97.1665 	DATA 	Keypress: o
97.1676 	DATA 	Keypress: o
97.1769 	Level start wait 	25
99.1641 	DATA 	Keypress: o
99.1772 	Level NO RINSE 	25
107.1593 	Level finished 	25
107.1609 	DATA 	Keypress: o
107.1621 	DATA 	Keypress: o
107.1630 	DATA 	Keypress: o
107.1639 	DATA 	Keypress: o
107.1645 	Level onset of trial =38.000000 	25
107.3808 	Level image=UCO.jpg 	25
108.1624 	DATA 	Keypress: o
108.1807 	Level injecting via pump at address 2 	25
108.1809 	Level injecting via pump at address 2 	25
108.1810 	Level post injecting via pump at address 2 	25
114.1650 	DATA 	Keypress: o
114.1662 	DATA 	Keypress: o
114.1672 	DATA 	Keypress: o
114.1949 	Level start wait 	25
116.1650 	DATA 	Keypress: o
116.1940 	Level RINSE 	25
119.1651 	DATA 	Keypress: o
119.1772 	Level Start Jitter 	25
124.1593 	Level finished 	25
124.1609 	DATA 	Keypress: o
124.1621 	DATA 	Keypress: o
124.1633 	DATA 	Keypress: o
124.1641 	Level onset of trial =55.000000 	25
124.3756 	Level image=CO.jpg 	25
125.1748 	Level injecting via pump at address 1 	25
125.1750 	Level injecting via pump at address 1 	25
125.1751 	Level post injecting via pump at address 1 	25
131.1652 	DATA 	Keypress: o
131.1665 	DATA 	Keypress: o
131.1677 	DATA 	Keypress: o
131.1734 	Level start wait 	25
133.1645 	DATA 	Keypress: o
133.1720 	Level RINSE 	25
136.1657 	DATA 	Keypress: o
136.1671 	DATA 	Keypress: o
136.1878 	Level Start Jitter 	25
146.1593 	Level finished 	25
146.1610 	DATA 	Keypress: o
146.1628 	DATA 	Keypress: o
146.1640 	DATA 	Keypress: o
146.1656 	DATA 	Keypress: o
146.1670 	DATA 	Keypress: o
146.1680 	Level onset of trial =77.000000 	25
146.3850 	Level image=UCO.jpg 	25
147.1678 	Level injecting via pump at address 2 	25
147.1679 	Level injecting via pump at address 2 	25
147.1681 	Level post injecting via pump at address 2 	25
153.1653 	DATA 	Keypress: o
153.1666 	DATA 	Keypress: o
153.1678 	DATA 	Keypress: o
153.1818 	Level start wait 	25
155.1654 	DATA 	Keypress: o
155.1819 	Level RINSE 	25
158.1648 	DATA 	Keypress: o
158.1659 	DATA 	Keypress: o
158.1972 	Level Start Jitter 	25
163.1593 	Level finished 	25
163.1609 	DATA 	Keypress: o
163.1624 	DATA 	Keypress: o
163.1634 	Level onset of trial =94.000000 	25
163.3789 	Level image=CO.jpg 	25
164.1622 	DATA 	Keypress: o
164.1785 	Level injecting via pump at address 1 	25
164.1788 	Level injecting via pump at address 1 	25
164.1790 	Level post injecting via pump at address 1 	25
170.1642 	DATA 	Keypress: o
170.1653 	DATA 	Keypress: o
170.1663 	DATA 	Keypress: o
170.1768 	Level start wait 	25
172.1650 	DATA 	Keypress: o
172.1760 	Level RINSE 	25
175.1655 	DATA 	Keypress: o
175.1748 	Level Start Jitter 	25
181.1593 	Level finished 	25
181.1609 	DATA 	Keypress: o
181.1621 	DATA 	Keypress: o
181.1635 	DATA 	Keypress: o
181.1646 	Level onset of trial =112.000000 	25
181.3673 	Level image=UCO.jpg 	25
182.1623 	DATA 	Keypress: o
182.1728 	Level injecting via pump at address 2 	25
182.1730 	Level injecting via pump at address 2 	25
182.1732 	Level post injecting via pump at address 2 	25
188.1655 	DATA 	Keypress: o
188.1669 	DATA 	Keypress: o
188.1682 	DATA 	Keypress: o
188.1830 	Level start wait 	25
190.1652 	DATA 	Keypress: o
190.1706 	Level RINSE 	25
193.1649 	DATA 	Keypress: o
193.1843 	Level Start Jitter 	25
198.1593 	Level finished 	25
198.1606 	DATA 	Keypress: o
198.1617 	DATA 	Keypress: o
198.1626 	DATA 	Keypress: o
198.1633 	Level onset of trial =129.000000 	25
198.3679 	Level image=water.jpg 	25
199.1835 	Level injecting via pump at address 0 	25
199.1836 	Level injecting via pump at address 0 	25
199.1839 	Level post injecting via pump at address 0 	25
205.1649 	DATA 	Keypress: o
205.1666 	DATA 	Keypress: o
205.1679 	DATA 	Keypress: o
205.1815 	Level start wait 	25
207.1651 	DATA 	Keypress: o
207.1815 	Level NO RINSE 	25
220.1593 	Level finished 	25
220.1608 	DATA 	Keypress: o
220.1618 	DATA 	Keypress: o
220.1630 	DATA 	Keypress: o
220.1641 	DATA 	Keypress: o
220.1650 	DATA 	Keypress: o
220.1663 	DATA 	Keypress: o
220.1675 	DATA 	Keypress: o
220.1686 	Level onset of trial =151.000000 	25
220.3771 	Level image=water.jpg 	25
221.1769 	Level injecting via pump at address 0 	25
221.1770 	Level injecting via pump at address 0 	25
221.1772 	Level post injecting via pump at address 0 	25
227.1652 	DATA 	Keypress: o
227.1666 	DATA 	Keypress: o
227.1677 	DATA 	Keypress: o
227.1917 	Level start wait 	25
229.1650 	DATA 	Keypress: o
229.1738 	Level NO RINSE 	25
237.1593 	Level finished 	25
237.1608 	DATA 	Keypress: o
237.1618 	DATA 	Keypress: o
237.1628 	DATA 	Keypress: o
237.1636 	DATA 	Keypress: o
237.1643 	Level onset of trial =168.000000 	25
237.3882 	Level image=CO.jpg 	25
238.1621 	DATA 	Keypress: o
238.1707 	Level injecting via pump at address 1 	25
238.1709 	Level injecting via pump at address 1 	25
238.1711 	Level post injecting via pump at address 1 	25
244.1643 	DATA 	Keypress: o
244.1655 	DATA 	Keypress: o
244.1670 	DATA 	Keypress: o
244.1860 	Level start wait 	25
246.1644 	DATA 	Keypress: o
246.1851 	Level RINSE 	25
249.1652 	DATA 	Keypress: o
249.1842 	Level Start Jitter 	25
256.1593 	Level finished 	25
256.1613 	DATA 	Keypress: o
256.1627 	DATA 	Keypress: o
256.1641 	DATA 	Keypress: o
256.1653 	DATA 	Keypress: o
256.1660 	Level onset of trial =187.000000 	25
256.3653 	Level image=UCO.jpg 	25
257.1716 	Level injecting via pump at address 2 	25
257.1718 	Level injecting via pump at address 2 	25
257.1720 	Level post injecting via pump at address 2 	25
263.1646 	DATA 	Keypress: o
263.1659 	DATA 	Keypress: o
263.1672 	DATA 	Keypress: o
263.1792 	Level start wait 	25
